,Loss,IoU
0,0.6632610758145651,0.3248435521409625
1,0.5794879652204967,0.4153976653303419
2,0.5371293226877848,0.47924859041259404
3,0.5108335287798018,0.5325782355808076
4,0.489965531088057,0.5789437634604317
5,0.4695530576365335,0.6133652386211214
6,0.4615341907455808,0.6353700671877179
7,0.4556127218973069,0.6512145172981989
8,0.4428839030719939,0.665963507833935
9,0.4429579135917482,0.675457843712398
10,0.437335593359811,0.6825937855811346
11,0.4294135272502899,0.692120217141651
12,0.42853144378889174,0.696953881354559
13,0.42463295800345285,0.7046278573217846
14,0.4201676008247194,0.7076690793037415
15,0.42489692994526457,0.7104892418498084
16,0.42025769040698097,0.7121280091149467
17,0.41602360492660884,0.718231927780878
18,0.41037948642458233,0.7231688016936892
19,0.40914546449979144,0.7231880937303815
20,0.4045587678750356,0.7302269623393104
21,0.4070371190706889,0.7310896430696759
22,0.40720247228940326,0.730701764424642
23,0.4006844021025158,0.7352528430166698
24,0.40050806459926425,0.7342478263945806
25,0.3950441096510206,0.7388996992792402
26,0.39443601029259817,0.742178928284418
27,0.3940159948099227,0.7419312227339971
28,0.3904305951935904,0.7456356003170922
29,0.38838839389029,0.7459276205017453
30,0.3914853831132253,0.7456161266281491
31,0.38283799091974896,0.7503288104420617
32,0.3827559366112664,0.7523240191595895
33,0.3824942566099621,0.7518123984336853
34,0.3805743640377408,0.7533846100171407
35,0.37847279934656053,0.7540202935536703
36,0.3741925869669233,0.7576525069418407
37,0.3735235645657494,0.7565594003314063
38,0.37221380784398034,0.7590172631399972
39,0.3700448274612427,0.760593349025363
40,0.3669338141168867,0.7607779105504354
41,0.3738123192673638,0.7561358043125698
42,0.371265736364183,0.764491149357387
43,0.3682086950256711,0.7642205925214858
44,0.3670670006956373,0.7647398823783511
45,0.37122477945827304,0.76344538018817
46,0.3642202814420064,0.7658955227761042
47,0.3579324654170445,0.7680493139085316
48,0.3595821715536572,0.7698972707703
49,0.3597631695724669,0.7697620363462538
50,0.3569520598366147,0.768936208316258
51,0.35329770899954294,0.7755790210905529
52,0.35293317550704595,0.7727086657569522
53,0.3538945303076789,0.7710521873973665
54,0.3578802602631705,0.7698671761013213
55,0.3521149626799992,0.77478917155947
56,0.34454940046582905,0.7762023551123483
57,0.34698369247572763,0.7762392475491479
58,0.3444677449408032,0.7768144125030154
59,0.3456608922708602,0.7780911837305341
60,0.34631311609631493,0.7759388912291754
61,0.343084895894641,0.7790400385856628
62,0.34138753158705576,0.780165848277864
63,0.34046004783539546,0.7810242658569699
64,0.3343688987550281,0.7833097917693002
65,0.336641054777872,0.7824561964897883
66,0.3349019998595828,0.7835814839317685
67,0.3350982935655685,0.7829718334334237
68,0.33414787479809355,0.7851906106585548
69,0.32943318429447355,0.7853980092775255
70,0.3256180172874814,0.7867342971620106
71,0.32357253914787654,0.7896552312941778
72,0.32628867739722844,0.7876193807238624
73,0.3234664528142838,0.789454596383231
74,0.324970821539561,0.7877121454193479
75,0.3255547937892732,0.7877443801789057
76,0.31902408883685157,0.7910435001055399
77,0.31890584173656644,0.7914036909739176
78,0.3176314149584089,0.7913371721903483
79,0.3165461690652938,0.7958389605794635
80,0.31190244498707,0.7964914043744405
81,0.31654844823337736,0.795004787899199
82,0.3151280525184813,0.7907001943815322
83,0.3133222105957213,0.7950084663572765
84,0.3088520509856088,0.7973129834447589
85,0.3051109342348008,0.7997547132628304
86,0.30926177615211126,0.7976588805516561
87,0.31046972955976215,0.798431070077987
88,0.30492509262902395,0.8007015671048846
89,0.3042119500182924,0.7999362917173476
90,0.29918279960041955,0.8026128524825686
91,0.3030595112414587,0.7984750952039447
92,0.301731200445266,0.7995964572543189
93,0.2998818173294976,0.8026233031636193
94,0.30276948923156377,0.7985919203077044
95,0.30099143726485117,0.8004105318160284
96,0.3002470916225797,0.8021493497348967
97,0.2959763876029423,0.805823700768607
98,0.2950981060663859,0.804673935685839
99,0.29345777488890146,0.8050062911851066
100,0.283511031241644,0.8096928937094552
101,0.28345985852536704,0.8092888622056871
102,0.2820627206847781,0.8100445980117434
103,0.2834084800311497,0.8108627001444498
104,0.281061718861262,0.8119187638873145
105,0.27561963810807183,0.8147048836662656
106,0.27570630255199613,0.8133769262404669
107,0.2799927755480721,0.813274968238104
108,0.27632935416130794,0.8135525839669364
109,0.2761613925298055,0.813647522812798
110,0.27366351655551363,0.8162984649340311
111,0.27563099492163884,0.8142677432014829
112,0.270857450507936,0.8162562109175182
113,0.27356146417912985,0.8149711234228951
114,0.27527072316124324,0.8142522488321576
115,0.27254945323580787,0.8161337943304152
116,0.285791304849443,0.8075870133581615
117,0.2774427377042316,0.8135557685579572
118,0.2693604777256648,0.8162720912978763
119,0.26740482165699914,0.8185023154531207
120,0.272610163404828,0.8155225458599272
121,0.2737188594681876,0.8153059454191298
122,0.2669334163268407,0.8190270378476098
123,0.26534098244848703,0.8189497362999689
124,0.2597267570949736,0.8220369759060088
125,0.266811245963687,0.8199010973884946
126,0.25936610996723175,0.8217725384803045
127,0.258466668072201,0.8221358145986285
128,0.26032052295548574,0.8230852626618885
129,0.26099636866932824,0.8213487381026858
130,0.261000191171964,0.8221522541273207
131,0.26048997044563293,0.8216916294324965
132,0.26225108263038455,0.8201620947747004
133,0.25388936201731366,0.825185877936227
134,0.255142147342364,0.8233343419574556
135,0.2577960008666629,0.8231989514260065
136,0.25574147559347604,0.8241148732957386
137,0.256733700633049,0.8252735563686916
138,0.2566865271046048,0.825261788708823
139,0.25401939025947023,0.823141892751058
140,0.2527670299723035,0.8264286546480089
141,0.2506049814678374,0.8254627046130952
142,0.25135732548577444,0.8262652045204526
143,0.24729159616288685,0.8285644991057259
144,0.26029992529324125,0.8217961504345849
145,0.2528279906227475,0.8251538787569318
146,0.24730738997459412,0.8277945035979861
147,0.24776174979550497,0.8291323156583876
148,0.2521668580316362,0.82612011830012
149,0.24909902825241997,0.8295251641954694
